vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG01843,123,5,4,0,9,132
HG02028,114,1,12,5,18,132
HG01861,116,7,6,3,16,132
HG01869,102,11,19,0,30,132
HG01865,95,16,19,2,37,132
HG01848,124,5,3,0,8,132
HG02048,117,12,3,0,15,132
HG02130,102,23,7,0,30,132
HG01595,117,12,3,0,15,132
HG01860,99,11,22,0,33,132
HG01853,90,21,21,0,42,132
HG02139,118,3,11,0,14,132
HG02121,121,2,3,6,11,132
HG01858,118,9,0,5,14,132
HG02058,106,23,3,0,26,132
HG02076,124,3,5,0,8,132
HG02131,108,8,16,0,24,132
HG02522,116,3,13,0,16,132
HG02019,126,1,3,2,6,132
HG01851,120,7,5,0,12,132
HG02016,106,23,3,0,26,132
HG01874,100,17,15,0,32,132
HG02057,105,15,12,0,27,132
HG02521,107,3,22,0,25,132
HG02035,91,20,21,0,41,132
HG02025,112,2,15,3,20,132
HG02128,112,15,5,0,20,132
HG01862,115,15,2,0,17,132
HG02134,107,18,7,0,25,132
HG02082,125,4,3,0,7,132
HG02122,114,7,3,8,18,132
HG01870,113,7,12,0,19,132
HG02136,123,2,7,0,9,132
HG01852,112,2,16,2,20,132
HG02137,110,3,19,0,22,132
HG01850,124,5,3,0,8,132
HG01857,111,5,16,0,21,132
HG02061,107,18,7,0,25,132
HG02142,125,4,3,0,7,132
HG01863,106,8,18,0,26,132
HG02026,103,20,9,0,29,132
HG01871,122,3,2,5,10,132
HG02141,127,0,0,5,5,132
HG01873,126,3,3,0,6,132
HG02049,123,3,6,0,9,132
HG02086,123,2,6,1,9,132
HG02113,96,18,17,1,36,132
HG01847,111,12,9,0,21,132
HG02513,21,0,0,0,0,21
HG02138,21,0,0,0,0,21
HG02075,21,0,0,0,0,21
HG02031,19,0,2,0,2,21
HG02084,21,0,0,0,0,21
HG02047,19,0,2,0,2,21
HG01597,21,0,0,0,0,21
HG01849,21,0,0,0,0,21
HG02023,21,0,0,0,0,21
HG01846,21,0,0,0,0,21
HG02081,21,0,0,0,0,21
HG01599,21,0,0,0,0,21
HG01866,21,0,0,0,0,21
HG02064,20,0,1,0,1,21
HG02069,21,0,0,0,0,21
HG02087,21,0,0,0,0,21
HG02017,21,0,0,0,0,21
HG01864,21,0,0,0,0,21
HG01868,21,0,0,0,0,21
HG01596,20,1,0,0,1,21
HG02072,21,0,0,0,0,21
HG02079,20,0,1,0,1,21
HG01600,21,0,0,0,0,21
HG02140,21,0,0,0,0,21
HG01841,20,1,0,0,1,21
HG02020,21,0,0,0,0,21
HG01878,21,0,0,0,0,21
HG02085,21,0,0,0,0,21
HG01598,21,0,0,0,0,21
HG01872,19,1,1,0,2,21
HG02073,21,0,0,0,0,21
HG01845,21,0,0,0,0,21
HG02032,21,0,0,0,0,21
HG02088,21,0,0,0,0,21
HG01840,21,0,0,0,0,21
HG01855,21,0,0,0,0,21
HG02050,21,0,0,0,0,21
HG01844,21,0,0,0,0,21
HG02067,21,0,0,0,0,21
HG02133,19,0,2,0,2,21
HG02127,21,0,0,0,0,21
HG02512,21,0,0,0,0,21
HG02040,21,0,0,0,0,21
HG01859,21,0,0,0,0,21
HG02078,21,0,0,0,0,21
HG02070,20,0,1,0,1,21
HG02029,20,0,1,0,1,21
HG02116,21,0,0,0,0,21
HG01842,21,0,0,0,0,21
HG01867,21,0,0,0,0,21
HG02060,21,0,0,0,0,21
HG01843,21,0,0,0,0,21
HG02028,20,0,1,0,1,21
HG01861,21,0,0,0,0,21
HG01869,20,1,0,0,1,21
HG01865,21,0,0,0,0,21
HG01848,21,0,0,0,0,21
HG02048,18,3,0,0,3,21
HG02130,21,0,0,0,0,21
HG01595,21,0,0,0,0,21
HG01860,21,0,0,0,0,21
HG01853,21,0,0,0,0,21
HG02139,19,0,0,2,2,21
HG02121,20,0,1,0,1,21
HG01858,20,1,0,0,1,21
HG02058,20,1,0,0,1,21
HG02076,21,0,0,0,0,21
HG02131,21,0,0,0,0,21
HG02522,20,1,0,0,1,21
HG02019,21,0,0,0,0,21
HG01851,21,0,0,0,0,21
HG02016,21,0,0,0,0,21
HG01874,20,1,0,0,1,21
HG02057,21,0,0,0,0,21
HG02521,21,0,0,0,0,21
HG02035,21,0,0,0,0,21
HG02025,21,0,0,0,0,21
HG02128,21,0,0,0,0,21
HG01862,21,0,0,0,0,21
HG02134,21,0,0,0,0,21
HG02082,20,1,0,0,1,21
HG02122,21,0,0,0,0,21
HG01870,21,0,0,0,0,21
